Token,Lemma
Die,der
Umwandlung,Umwandlung
Österreich-Ungarns,Österreich-Ungarn
.,--
System,System
Lammasch,Lammasch
in,in
Österreich,Österreich
",",--
=,=
Karolyi,Karolyi
in,in
Ungarn,Ungarn
",",--
Die,der
staatliche,staatlich
Neuordnung,Neuordnung
in,in
der,der
Donau-,Donau
monarchie,Monarchie
geht,gehen
allem,aller
Anschein,Anschein
nach,nach
gleichzeitig,gleichzeitig
in,in
beiden,beide
Reichshälften,Reichshälft
mit,mit
Riesenschritten,Riesenschritt
vor,vor
sich,sich
Beide,beide
Regierungen,Regierung
ziehen,ziehen
unmittelbar,unmittelbar
vor,vor
dem,der
Rücktritt,Rücktritt
",",--
und,und
wenn,wenn
die,der
Nachfolger,Nachfolger
auch,auch
noch,noch
nicht,nicht
ernannt,ernennen
sind,sein
",",--
so,so
ist,sein
doch,doch
die,der
Richtung,Richtung
vor,vor
",",--
in,in
der,der
bei,bei
der,der
Auswahl,Auswahl
der,der
kommenden,kommend
Männer,Mann
vorgegangen,vorgehen
werden,werden
wird,werden
.,--
Föderation,Föderation
Autonomie,Autonomie
",",--
vereint,vereinen
mit,mit
weitgehenden,weitgehend
politischen,politisch
Zugeständnissen,Zugeständnis
an,an
den,der
Feind,Feind
Leitgedanken,Leitgedanke
für,für
den,der
Wiederaufbau,Wiederaufbau
Österreich-Ungarns,Österreich-Ungarn
",",--
oder,oder
wie,wie
das,der
zu,zu
errichtende,errichtend
System,System
von,von
Bundesstaaten,Bundesstaat
genannt,nennen
werden,werden
soll,sollen
.,--
Gestern,gestern
hat,haben
bereits,bereits
Herr,Herr
v.,v.
Hussarek,Hussarek
Rücktrittsabsicht,Rücktrittsabsicht
bekanntgegeben,bekanntgeben
=,=
>,>
wie,wie
es,es
heißt,heißen
",",--
soll,sollen
auch,auch
der,der
Minister,Minister
des,der
Auswärtigen,auswärtig
Graf,Graf
Durian,Durian
seine,sein
Demission,Demission
gegeben,geben
haben,haben
=,=
und,und
heute,heute
empfängt,empfangen
Kaiser,Kaiser
Karl,Karl
Parteiführer,Parteiführer
aller,aller
Richtungen,Richtung
und,und
Nationen,Nation
.,--
Außer,außer
den,der
Führern,Führer
deutschbürgerlichen,deutschbürgerlich
Parteien,Partei
werden,werden
die,der
Sozialdemokraten,Sozialdemokrat
Dr.,Dr.
Viktor,Viktor
Adler,Adler
",",--
Seiß,Seiß
und,und
Selinger,Selinger
",",--
die,der
Tschechen,Tscheche
Stanek,Stanek
",",--
Fiedler,Fiedler
",",--
Dr.,Dr.
Seuchen,Seuche
und,und
Klofac,Klofac
",",--
der,der
Südslawe,Südslawe
Korosec,Korosec
und,und
Vertreter,Vertreter
der,der
Polen,Pole
",",--
Ukrainer,Ukrainer
empfangen,empfangen
werden,werden
.,--
Von,von
ungarischen,ungarisch
Politikern,Politiker
erhielten,erhalten
Graf,Graf
Karolyi,Karolyi
",",--
der,der
sessige,sessig
Ernährungs-,Ernährung
Graf,Graf
Prinz,Prinz
Windischgraetz,Windischgraetz
",",--
und,und
Graf,Graf
Apponyi,Apponyi
„,--
Berufungen,Berufung
zum,zu
Kaiser,Kaiser
.,--
[,[
e.,e.
2,2
Vordergrund,Vordergrund
",",--
für,für
